"Dedo1","Dedo2","Dedo3","Dedo4","Dedo5","Target",""
"364","263","247","12","-12","3",""
"357","267","239","12","-12","3",""
"364","295","245","12","-12","3",""
"357","295","249","12","-12","3",""
"375","274","245","12","-12","3",""
"360","267","247","12","-12","3",""
"378","267","247","12","-12","3",""
"364","265","245","12","-12","3",""
"364","263","247","12","-12","3",""
"344","265","252","12","-12","3",""
"390","267","241","12","-12","3",""
"364","263","247","12","-12","3",""
"371","267","241","11","-12","3",""
"331","265","249","11","-13","3",""
"354","261","247","12","-12","3",""
"347","269","245","12","-12","3",""
"364","261","245","12","-12","3",""
"364","265","247","12","-12","3",""
"386","269","247","11","-12","3",""
"364","265","247","12","-12","3",""
"347","263","241","12","-12","3",""
"364","257","243","12","-12","3",""
"347","263","249","12","-12","3",""
"328","265","245","12","-13","3",""
"367","269","257","11","-13","3",""
"308","263","278","12","-12","3",""
"367","265","243","12","-12","3",""
"367","261","245","12","-12","3",""
"364","263","247","12","-12","3",""
"357","265","243","12","-12","3",""
"360","261","243","12","-12","3",""
"364","267","247","12","-12","3",""
"360","261","249","12","-12","3",""
"382","261","251","11","-12","3",""
"367","267","228","11","-12","3",""
"364","263","241","12","-12","3",""
"350","267","247","12","-12","3",""
"364","263","247","12","-12","3",""
"378","267","247","12","-12","3",""
"360","267","249","12","-12","3",""
"357","267","247","12","-12","3",""
"357","269","245","12","-12","3",""
"367","274","241","12","-12","3",""
"415","271","251","12","-12","3",""
"350","263","249","12","-12","3",""
"317","276","249","11","-12","3",""
"410","269","249","12","-12","3",""
"357","263","249","12","-12","3",""
"364","265","247","12","-12","3",""
"350","265","251","12","-12","3",""
"371","265","247","11","-13","3",""
"360","267","241","11","-13","3",""
"354","265","245","12","-13","3",""
"375","271","252","12","-12","3",""
"360","271","251","12","-13","3",""
"357","267","249","12","-13","3",""
"375","267","249","12","-13","3",""
"382","267","243","12","-12","3",""
"390","278","237","11","-12","3",""
"419","261","257","12","-12","3",""
"360","249","243","12","-12","3",""
"386","274","239","12","-12","3",""
"354","243","237","15","-12","3",""
"375","263","237","12","-12","3",""
"360","259","245","12","-12","3",""
"354","261","245","13","-12","3",""
"386","263","245","12","-12","3",""
"428","259","223","13","-12","3",""
"357","252","214","12","-13","3",""
"347","257","243","12","-12","3",""
"334","271","249","12","-12","3",""
"354","265","239","13","-12","3",""
"314","255","223","12","-12","3",""
"347","261","249","12","-12","3",""
"357","263","243","12","-12","3",""
"298","261","243","13","-12","3",""
"340","271","251","12","-12","3",""
"354","263","241","11","-12","3",""
"371","257","241","12","-12","3",""
"360","263","252","11","-12","3",""
"337","265","247","11","-13","3",""
"344","263","245","12","-12","3",""
"344","261","247","12","-12","3",""
"354","263","245","11","-12","3",""
"350","265","249","12","-12","3",""
"354","261","245","12","-13","3",""
"328","267","245","12","-13","3",""
"350","274","245","11","-13","3",""
"378","263","245","11","-12","3",""
"364","298","241","12","-12","3",""
"325","271","257","11","-12","3",""
"364","261","243","11","-12","3",""
"357","261","243","12","-12","3",""
"347","261","245","12","-12","3",""
"344","261","243","12","-12","3",""
"340","269","243","11","-12","3",""
"337","271","241","11","-12","3",""
"394","325","247","11","-12","3",""
"508","344","249","10","-12","3",""
"350","344","245","12","-12","3",""
"367","276","245","11","-12","3",""
"371","263","241","12","-12","3",""
"398","271","245","11","-12","3",""
"415","267","247","12","-12","3",""
"410","271","245","12","-12","3",""
"452","252","241","11","-13","3",""
"479","278","245","11","-12","3",""
"457","271","243","12","-12","3",""
"463","265","247","12","-12","3",""
"479","263","261","11","-12","3",""
"749","239","243","12","-12","3",""
"508","269","245","12","-12","3",""
"502","269","245","12","-12","3",""
"484","269","249","11","-12","3",""
"484","265","243","11","-12","3",""
"447","267","245","11","-13","3",""
"424","285","283","12","-13","3",""
"484","267","243","12","-12","3",""
"479","269","251","11","-13","3",""
"468","265","269","13","-13","3",""
"447","274","249","11","-12","3",""
"479","269","245","11","-12","3",""
"463","267","257","12","-12","3",""
"468","265","245","11","-12","3",""
"502","267","243","12","-12","3",""
"463","265","245","12","-12","3",""
"447","269","243","12","-12","3",""
"473","261","239","13","-13","3",""
"496","263","239","11","-12","3",""
"375","303","237","11","-13","3",""
"490","263","243","11","-13","3",""
"490","267","245","11","-13","3",""
"457","263","245","11","-12","3",""
"452","261","239","11","-13","3",""
"452","265","247","12","-13","3",""
"447","265","241","11","-13","3",""
"457","267","241","11","-13","3",""
"406","314","257","12","-13","3",""
"442","259","243","11","-12","3",""
"438","267","249","12","-12","3",""
"438","265","245","12","-12","3",""
"428","263","247","12","-12","3",""
"433","269","241","12","-12","3",""
"415","265","239","11","-12","3",""
"433","267","252","12","-12","3",""
"433","265","249","12","-12","3",""
"442","269","249","12","-12","3",""
"534","271","251","11","-12","3",""
"424","252","249","11","-12","3",""
"438","269","239","10","-12","3",""
